"respondent_id","persona"
34,"I am 61 years old. I am female. I am White. I have never been married. I had 6 years of college education (master's degree). My family income is $35,000 to $39,999. I am extremely liberal. I never attend religious services."
35,"I am 71 years old. I am female. I am White. I have never been married. I completed high school (12th grade). My family income is $40,000 to $49,999. I am an independent, close to Republican. I am slightly liberal. I never attend religious services."
36,"I am 70 years old. I am female. I am White. I am married. I completed 4 years of college (bachelor's degree). I am slightly conservative. I attend religious services less than once a year."
37,"I am 60 years old. I am female. I am White. I am married. I completed 4 years of college (bachelor's degree). My family income is $110,000 to $129,999. I am conservative. I attend religious services every week."
38,"I am 57 years old. I am female. I am of another race. I have never been married. I completed 11th grade. My family income is $30,000 to $34,999. I am a not very strong Democrat. I am slightly conservative. I attend religious services 2-3 times a month."
39,"I am 37 years old. I am female. I am of another race. I am married. I completed 4 years of college (bachelor's degree). My family income is $110,000 to $129,999. I am a strong Republican. I am extremely conservative. I attend religious services several times a year."
40,"I am 26 years old. I am male. I am White. I have never been married. I completed high school (12th grade). My family income is $30,000 to $34,999. I am an independent (neither Democrat nor Republican). I am slightly conservative. I never attend religious services."
41,"I am 59 years old. I am male. I am White. I am divorced. I completed high school (12th grade). My family income is $50,000 to $59,999. I am an independent, close to Republican. I am slightly conservative. I never attend religious services."
42,"I am 65 years old. I am male. I am White. I am married. I completed high school (12th grade). My family income is $50,000 to $59,999. I am a not very strong Democrat. I am moderate (middle of the road). I attend religious services less than once a year."
43,"I am 71 years old. I am female. I am White. I am married. I had 5 years of college education. My family income is $75,000 to $89,999. I am an independent (neither Democrat nor Republican). I am moderate (middle of the road). I attend religious services 2-3 times a month."
44,"I am 41 years old. I am female. I am White. I am married. I had 6 years of college education (master's degree). My family income is $170,000 or more. I am an independent, close to Democrat. I am slightly liberal. I never attend religious services."
45,"I am 58 years old. I am male. I am White. I am married. I had 5 years of college education. My family income is $150,000 to $169,999. I am a not very strong Republican. I am conservative. I attend religious services less than once a year."
46,"I am 79 years old. I am male. I am White. I am married. I had 5 years of college education. My family income is $90,000 to $109,999. I am an independent, close to Democrat. I am moderate (middle of the road). I attend religious services about once or twice a year."
47,"I am 83 years old. I am female. I am White. I am widowed. I completed 4 years of college (bachelor's degree). My family income is $50,000 to $59,999. I am a strong Republican. I am moderate (middle of the road). I attend religious services about once or twice a year."
48,"I am 57 years old. I am male. I am White. I am married. I completed 4 years of college (bachelor's degree). My family income is $170,000 or more. I am a not very strong Democrat. I am moderate (middle of the road). I attend religious services several times a year."
49,"I am male. I am White. I am married. I completed 4 years of college (bachelor's degree). My family income is $170,000 or more. I am an independent, close to Democrat. I am slightly liberal. I never attend religious services."
50,"I am 65 years old. I am male. I am White. I am married. I completed 11th grade. My family income is $150,000 to $169,999. I am an independent (neither Democrat nor Republican). I am conservative. I attend religious services several times a year."
51,"I am 74 years old. I am female. I am White. I am married. I completed 4 years of college (bachelor's degree). My family income is $170,000 or more. I am a strong Democrat. I am moderate (middle of the road). I attend religious services more than once a week."
52,"I am 61 years old. I am female. I am White. I am married. I had 6 years of college education (master's degree). My family income is $170,000 or more. I am a strong Republican. I am slightly conservative. I attend religious services 2-3 times a month."
53,"I am 24 years old. I am female. I am White. I have never been married. I completed 4 years of college (bachelor's degree). My family income is $75,000 to $89,999. I am a not very strong Democrat. I am slightly liberal. I attend religious services less than once a year."
54,"I am 61 years old. I am male. I am Black or African American. I have never been married. I completed 6th grade. My family income is $3,000 to $3,999. I am a strong Democrat. I am extremely liberal. I attend religious services about once or twice a year."
55,"I am 56 years old. I am female. I am of another race. I have never been married. I completed 4 years of college (bachelor's degree). My family income is $10,000 to $12,499. I am an independent, close to Democrat. I am slightly liberal. I attend religious services less than once a year."
56,"I am 72 years old. I am female. I am White. I have never been married. I completed 4 years of college (bachelor's degree). I am a not very strong Democrat. I am slightly liberal. I never attend religious services."
57,"I am female. I am White. I am married. I completed high school (12th grade). I am an independent (neither Democrat nor Republican). I attend religious services about once a month."
58,"I am 49 years old. I am female. I am White. I am divorced. I had 6 years of college education (master's degree). My family income is $75,000 to $89,999. I am a strong Democrat. I am liberal."
59,"I am 78 years old. I am male. I am White. I am married. I had 1 year of college education. My family income is $170,000 or more. I am an independent (neither Democrat nor Republican). I am moderate (middle of the road). I never attend religious services."
60,"I am 63 years old. I am female. I am of another race. I have never been married. I had 1 year of college education. My family income is $12,500 to $14,999. I am an independent (neither Democrat nor Republican). I am liberal. I attend religious services 2-3 times a month."
61,"I am 57 years old. I am female. I am White. I have never been married. I had 6 years of college education (master's degree). My family income is $170,000 or more. I am a strong Democrat. I am liberal. I never attend religious services."
62,"I am 26 years old. I am male. I am of another race. I have never been married. I completed 4 years of college (bachelor's degree). My family income is $170,000 or more. I am an independent, close to Democrat. I am slightly liberal. I attend religious services every week."
63,"I am 89 years or older. I am female. I am White. I am married. I completed high school (12th grade). My family income is $7,000 to $7,999. I am a not very strong Republican. I am conservative. I attend religious services more than once a week."
64,"I am 79 years old. I am male. I am White. I am divorced. I had 3 years of college education. My family income is $60,000 to $74,999. I am a strong Republican. I am extremely conservative. I never attend religious services."
65,"I am 22 years old. I am female. I am White. I have never been married. I completed 4 years of college (bachelor's degree). My family income is $170,000 or more. I am a strong Democrat. I am liberal. I never attend religious services."
66,"I am 49 years old. I am female. I am of another race. I am married. I had 5 years of college education. My family income is $170,000 or more. I am an independent, close to Democrat. I am moderate (middle of the road). I never attend religious services."
67,"I am 52 years old. I am female. I am White. I have never been married. I completed 4 years of college (bachelor's degree). I am a strong Democrat. I am liberal. I attend religious services nearly every week."
68,"I am 70 years old. I am male. I am White. I am divorced. I had 5 years of college education. My family income is $75,000 to $89,999. I am a not very strong Democrat. I am slightly liberal. I attend religious services several times a year."
69,"I am 23 years old. I am male. I am of another race. I have never been married. I had 3 years of college education. I am a strong Democrat. I am liberal. I never attend religious services."
70,"I am 25 years old. I am female. I am of another race. I have never been married. I completed 4 years of college (bachelor's degree). I am an independent (neither Democrat nor Republican). I am slightly conservative. I attend religious services several times a year."
71,"I am 41 years old. I am female. I am of another race. I am married. I had 5 years of college education. My family income is $60,000 to $74,999. I am a not very strong Republican. I am moderate (middle of the road). I attend religious services less than once a year."
72,"I am 37 years old. I am male. I am of another race. I have never been married. I completed 4 years of college (bachelor's degree). My family income is $40,000 to $49,999. I am a not very strong Democrat. I am slightly conservative. I never attend religious services."
73,"I am 32 years old. I am male. I am White. I am married. I completed 4 years of college (bachelor's degree). My family income is $3,000 to $3,999. I am an independent (neither Democrat nor Republican). I am conservative. I attend religious services about once a month."
74,"I am 32 years old. I am male. I am of another race. I have never been married. I completed 4 years of college (bachelor's degree). My family income is $90,000 to $109,999. I am a strong Democrat. I am liberal. I attend religious services every week."
75,"I am 54 years old. I am male. I am Black or African American. I have never been married. I completed high school (12th grade). My family income is $50,000 to $59,999. I am a not very strong Republican. I am moderate (middle of the road). I attend religious services more than once a week."
76,"I am 56 years old. I am male. I am Black or African American. I have never been married. I had 1 year of college education. My family income is $10,000 to $12,499. I am an independent, close to Democrat. I am extremely liberal. I attend religious services more than once a week."
77,"I am 28 years old. I am female. I am White. I have never been married. I completed 4 years of college (bachelor's degree). My family income is $170,000 or more. I am an independent, close to Republican. I am slightly conservative. I never attend religious services."
78,"I am 46 years old. I am female. I am White. I have never been married. I completed 4 years of college (bachelor's degree). My family income is $170,000 or more. I am a strong Democrat. I am liberal. I attend religious services about once or twice a year."
79,"I am 20 years old. I am female. I am of another race. I have never been married. I had 2 years of college education. I am an independent (neither Democrat nor Republican). I am conservative. I attend religious services every week."
80,"I am 31 years old. I am male. I am White. I have never been married. I completed 4 years of college (bachelor's degree). My family income is $30,000 to $34,999. I am an independent, close to Democrat. I am liberal. I never attend religious services."
81,"I am 49 years old. I am male. I have never been married. I completed high school (12th grade). My family income is $50,000 to $59,999. I am a strong Republican. I am moderate (middle of the road). I never attend religious services."
82,"I am 59 years old. I am female. I am Black or African American. I am separated. I completed 4 years of college (bachelor's degree). My family income is $35,000 to $39,999. I am a strong Republican. I am conservative. I attend religious services less than once a year."
83,"I am 65 years old. I am male. I am White. I am married. My family income is $35,000 to $39,999. I am an independent (neither Democrat nor Republican). I am liberal. I never attend religious services."
84,"I am 74 years old. I am female. I am Black or African American. I am married. I completed 3rd grade. My family income is $6,000 to $6,999. I am an independent (neither Democrat nor Republican). I am moderate (middle of the road). I attend religious services more than once a week."
85,"I am 47 years old. I am female. I am separated. I had 5 years of college education. I am an independent (neither Democrat nor Republican). I am moderate (middle of the road). I never attend religious services."
86,"I am 62 years old. I am female. I am of another race. I am married. I had 2 years of college education. My family income is $60,000 to $74,999. I am a strong Democrat. I am moderate (middle of the road). I attend religious services about once or twice a year."
87,"I am 37 years old. I am female. I am of another race. I am separated. I had 1 year of college education. My family income is $1,000 to $2,999. I am a not very strong Democrat. I am slightly conservative. I attend religious services nearly every week."
88,"I am 50 years old. I am female. I am divorced. I completed high school (12th grade). My family income is $50,000 to $59,999. I am a not very strong Democrat. I am liberal. I attend religious services several times a year."
89,"I am 34 years old. I am female. I have never been married. I had 2 years of college education. My family income is $50,000 to $59,999. I am an independent (neither Democrat nor Republican). I am slightly conservative. I attend religious services less than once a year."
90,"I am 36 years old. I am male. I am of another race. I am married. I completed 4 years of college (bachelor's degree). My family income is $20,000 to $22,499. I am a strong Democrat. I am extremely liberal. I attend religious services every week."
91,"I am 75 years old. I am female. I am Black or African American. I am widowed. I had 2 years of college education. My family income is $50,000 to $59,999. I am a not very strong Democrat. I am slightly liberal. I attend religious services every week."
92,"I am 41 years old. I am female. I am divorced. I had 1 year of college education. My family income is $25,000 to $29,999. I am an independent (neither Democrat nor Republican). I am conservative. I attend religious services every week."
93,"I am 36 years old. I am female. I am of another race. I am married. I completed 7th grade. My family income is $110,000 to $129,999. I am an independent, close to Democrat. I am moderate (middle of the road). I attend religious services every week."
94,"I am 41 years old. I am male. I am of another race. I am married. I had 5 years of college education. I am an independent (neither Democrat nor Republican). I attend religious services 2-3 times a month."
95,"I am 79 years old. I am male. I am White. I am married. I completed high school (12th grade). My family income is $75,000 to $89,999. I am an independent, close to Democrat. I am liberal. I never attend religious services."
96,"I am 26 years old. I am male. I am Black or African American. I have never been married. I had 1 year of college education. My family income is $30,000 to $34,999. I am an independent (neither Democrat nor Republican). I am moderate (middle of the road). I never attend religious services."
97,"I am 55 years old. I am female. I am Black or African American. I have never been married. I completed high school (12th grade). My family income is $10,000 to $12,499. I am a strong Democrat. I attend religious services about once or twice a year."
98,"I am 34 years old. I am male. I have never been married. I completed high school (12th grade). I am a strong Republican. I am slightly liberal. I never attend religious services."
99,"I am 54 years old. I am male. I am Black or African American. I have never been married. I completed high school (12th grade). My family income is $90,000 to $109,999. I am a not very strong Democrat. I am slightly conservative. I attend religious services about once or twice a year."
100,"I am 61 years old. I am female. I am Black or African American. I have never been married. I had 3 years of college education. My family income is $150,000 to $169,999. I am an independent (neither Democrat nor Republican). I am slightly liberal. I never attend religious services."
