,ID,Age,Gender,University,Education,Major,BFI_1_E,R_BFI_2_A,BFI_3_C,BFI_4_N,BFI_5_O,R_BFI_6_E,BFI_7_A,R_BFI_8_C,R_BFI_9_N,BFI_10_O,BFI_11_E,R_BFI_12_A,BFI_13_C,BFI_14_N,BFI_15_O,BFI_16_E,BFI_17_A,R_BFI_18_C,BFI_19_N,BFI_20_O,R_BFI_21_E,BFI_22_A,R_BFI_23_C,R_BFI_24_N,BFI_25_O,BFI_26_E,R_BFI_27_A,BFI_28_C,BFI_29_N,BFI_30_O,BFI_31_E,BFI_32_A,BFI_33_C,R_BFI_34_N,R_BFI_35_O,BFI_36_E,R_BFI_37_A,BFI_38_C,BFI_39_N,BFI_40_O,R_BFI_41_O,BFI_42_A,R_BFI_43_C,BFI_44_O,GAAIS_1_P,GAAIS_2_P,R_GAAIS_3_N,GAAIS_4_P,GAAIS_5_P,R_GAAIS_6_N,GAAIS_7_P,R_GAAIS_8_N,R_GAAIS_9_N,R_GAAIS_10_N,GAAIS_11_P,GAAIS_12_P,GAAIS_13_P,GAAIS_14_P,R_GAAIS_15_N,GAAIS_16_P,GAAIS_17_P,GAAIS_18_P,R_GAAIS_19_N,R_GAAIS_20_N,BFI_O,BFI_E,BFI_A,BFI_N,BFI_C,GAAIS_P,GAAIS_N
10,11,23,Woman,Private,Senior,Social Sciences,Disagree Strongly,Neither agree nor disagree,Agree a little,Agree strongly,Disagree Strongly,Disagree Strongly,Neither agree nor disagree,Disagree a little,Agree strongly,Agree strongly,Disagree Strongly,Agree a little,Agree a little,Agree strongly,Disagree Strongly,Disagree Strongly,Disagree a little,Neither agree nor disagree,Agree strongly,Neither agree nor disagree,Disagree Strongly,Neither agree nor disagree,Disagree a little,Agree strongly,Disagree Strongly,Disagree Strongly,Disagree Strongly,Disagree a little,Agree strongly,Agree strongly,Agree strongly,Neither agree nor disagree,Agree a little,Agree a little,Disagree a little,Neither agree nor disagree,Disagree a little,Agree a little,Agree a little,Disagree a little,Neither agree nor disagree,Neither agree nor disagree,Disagree Strongly,Disagree a little,(Somewhat) agree,(Somewhat) agree,Strongly disagree,(Somewhat) agree,Neutral,Neutral,(Somewhat) agree,Neutral,Neutral,(Somewhat) disagree,Neutral,(Somewhat) agree,(Somewhat) disagree,(Somewhat) agree,(Somewhat) agree,(Somewhat) disagree,(Somewhat) agree,(Somewhat) disagree,(Somewhat) disagree,(Somewhat) disagree,2.5,1.75,2.666666667,4.75,2.888888889,3.333333333,2.5
11,12,22,Man,Private,Sophomore,Business,Agree a little,Agree a little,Agree strongly,Neither agree nor disagree,Agree a little,Disagree a little,Agree a little,Disagree Strongly,Disagree Strongly,Agree a little,Disagree a little,Neither agree nor disagree,Agree a little,Agree a little,Agree a little,Agree a little,Agree strongly,Agree a little,Agree a little,Neither agree nor disagree,Disagree Strongly,Agree strongly,Disagree Strongly,Disagree a little,Neither agree nor disagree,Agree a little,Disagree a little,Agree strongly,Disagree a little,Neither agree nor disagree,Agree strongly,Agree strongly,Neither agree nor disagree,Agree a little,Disagree a little,Disagree a little,Neither agree nor disagree,Agree strongly,Disagree a little,Agree a little,Disagree a little,Agree strongly,Agree a little,Disagree Strongly,(Somewhat) disagree,Strongly agree,(Somewhat) disagree,Strongly agree,Strongly agree,(Somewhat) agree,,Strongly disagree,Strongly disagree,Neutral,(Somewhat) agree,(Somewhat) agree,Neutral,Strongly agree,(Somewhat) disagree,(Somewhat) agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,3,3,4,2.75,3.555555556,4.272727273,1.875
12,13,22,Woman,Private,Junior,PharmD,Agree strongly,Neither agree nor disagree,Agree strongly,Agree strongly,Agree strongly,Neither agree nor disagree,Agree strongly,Disagree Strongly,Agree strongly,Agree strongly,Agree strongly,Neither agree nor disagree,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Agree a little,Disagree a little,Agree strongly,Neither agree nor disagree,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Disagree Strongly,Neither agree nor disagree,Agree strongly,Agree a little,Neither agree nor disagree,Agree strongly,Agree strongly,Agree a little,Disagree Strongly,Agree strongly,Disagree a little,Agree a little,Agree a little,Agree a little,Disagree a little,Agree strongly,Disagree Strongly,Disagree a little,Strongly disagree,Neutral,(Somewhat) disagree,Neutral,Neutral,(Somewhat) disagree,Strongly agree,(Somewhat) disagree,Strongly disagree,Strongly disagree,(Somewhat) agree,Neutral,(Somewhat) agree,Strongly agree,(Somewhat) disagree,Neutral,(Somewhat) agree,(Somewhat) agree,(Somewhat) disagree,(Somewhat) disagree,3.8,4.25,3.777777778,4.375,3.666666667,3.5,1.75
13,14,24,Man,Private,Senior,PharmD,Agree strongly,Disagree Strongly,Agree strongly,Agree a little,Agree a little,Agree a little,Agree strongly,Disagree a little,Disagree Strongly,Agree strongly,Agree strongly,Agree a little,Agree strongly,Agree a little,Agree a little,Agree strongly,Agree a little,Agree a little,Agree a little,Agree a little,Disagree a little,Agree strongly,Agree a little,Disagree a little,Agree a little,Agree a little,Neither agree nor disagree,Agree strongly,Agree strongly,Agree a little,Agree strongly,Agree a little,Agree strongly,Disagree a little,Disagree a little,Agree a little,Disagree a little,Agree strongly,Agree a little,Agree a little,Disagree a little,Agree strongly,Agree a little,Agree a little,(Somewhat) agree,(Somewhat) agree,(Somewhat) disagree,(Somewhat) agree,(Somewhat) agree,(Somewhat) disagree,(Somewhat) agree,Neutral,Strongly disagree,(Somewhat) disagree,(Somewhat) agree,(Somewhat) agree,Neutral,(Somewhat) agree,(Somewhat) agree,(Somewhat) agree,(Somewhat) agree,(Somewhat) agree,Neutral,Strongly disagree,3.7,4.25,3.666666667,3.25,4.333333333,3.916666667,2.25
14,15,20,Woman,Private,Sophomore,Social Sciences,Disagree a little,Neither agree nor disagree,Agree a little,Agree a little,Agree a little,Disagree a little,Agree a little,Agree a little,Neither agree nor disagree,Agree strongly,Disagree a little,Agree a little,Agree a little,Agree a little,Agree a little,Neither agree nor disagree,Agree a little,Agree strongly,Disagree a little,Agree a little,Disagree a little,Agree a little,Agree a little,Agree a little,Agree a little,Disagree a little,Neither agree nor disagree,Agree a little,Neither agree nor disagree,Agree a little,Neither agree nor disagree,Agree a little,Agree a little,Disagree a little,Disagree a little,Neither agree nor disagree,Agree a little,Agree strongly,Neither agree nor disagree,Agree a little,Neither agree nor disagree,Agree a little,Agree a little,Agree a little,(Somewhat) disagree,(Somewhat) agree,(Somewhat) disagree,(Somewhat) disagree,(Somewhat) agree,Strongly disagree,(Somewhat) agree,Neutral,(Somewhat) agree,Neutral,(Somewhat) agree,(Somewhat) agree,Neutral,(Somewhat) agree,Strongly agree,Neutral,Neutral,Neutral,(Somewhat) agree,Neutral,3.8,2.375,3.777777778,3.125,4.222222222,3.333333333,3.125
15,16,21,Man,Private,Sophomore,Computer Science,Neither agree nor disagree,Agree a little,Agree a little,Agree strongly,Agree strongly,Disagree Strongly,Agree strongly,Disagree Strongly,Agree a little,Agree strongly,Disagree a little,Agree strongly,Agree a little,Agree a little,Agree strongly,Neither agree nor disagree,Agree strongly,Disagree Strongly,Agree strongly,Agree strongly,Disagree Strongly,Agree strongly,Disagree Strongly,Agree a little,Agree strongly,Disagree a little,Disagree Strongly,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Neither agree nor disagree,Disagree Strongly,Disagree a little,Agree a little,Disagree a little,Neither agree nor disagree,Neither agree nor disagree,Agree strongly,Disagree a little,Agree a little,Neither agree nor disagree,Neither agree nor disagree,Neutral,(Somewhat) agree,Neutral,(Somewhat) disagree,(Somewhat) agree,(Somewhat) disagree,(Somewhat) agree,Neutral,(Somewhat) disagree,(Somewhat) disagree,Neutral,(Somewhat) agree,Strongly agree,Strongly agree,(Somewhat) disagree,Strongly agree,Neutral,Neutral,(Somewhat) disagree,Strongly disagree,4.2,2.625,4,3.875,2.777777778,3.75,2.125
16,17,21,Man,Private,Sophomore,Computer Science,Agree a little,Neither agree nor disagree,Agree a little,Disagree a little,Neither agree nor disagree,Disagree a little,Agree strongly,Disagree Strongly,Disagree a little,Disagree a little,Agree a little,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree a little,Agree a little,Agree strongly,Disagree a little,Agree a little,Agree a little,Agree a little,Agree a little,Agree a little,Neither agree nor disagree,Neither agree nor disagree,Agree a little,Neither agree nor disagree,Agree a little,Neither agree nor disagree,Neither agree nor disagree,Agree a little,Agree strongly,Agree strongly,Disagree Strongly,Disagree a little,Agree a little,Neither agree nor disagree,Disagree Strongly,Neither agree nor disagree,Agree a little,Agree a little,Agree a little,Disagree Strongly,Neither agree nor disagree,Neutral,Strongly agree,(Somewhat) disagree,Neutral,(Somewhat) agree,(Somewhat) disagree,Neutral,(Somewhat) disagree,Strongly disagree,(Somewhat) disagree,(Somewhat) agree,,Neutral,(Somewhat) agree,(Somewhat) disagree,(Somewhat) agree,Neutral,(Somewhat) agree,Neutral,(Somewhat) disagree,3.2,3.75,3.888888889,2.625,2.777777778,3.636363636,2
17,18,22,Woman,Private,Senior,Social Sciences,Agree strongly,Disagree a little,Agree a little,Agree strongly,Agree strongly,Agree a little,Agree strongly,Disagree Strongly,Neither agree nor disagree,Agree strongly,Agree strongly,Neither agree nor disagree,Agree a little,Agree strongly,Agree a little,Agree strongly,Agree a little,Disagree Strongly,Agree strongly,Agree strongly,Agree a little,Agree strongly,Disagree Strongly,Agree strongly,Agree a little,Agree strongly,Disagree Strongly,Agree strongly,Agree a little,Agree strongly,Agree strongly,Agree strongly,Agree a little,Disagree a little,Agree strongly,Agree strongly,Disagree a little,Agree a little,Disagree a little,Agree strongly,Neither agree nor disagree,Agree a little,Disagree a little,Disagree Strongly,Strongly disagree,Strongly agree,Strongly disagree,(Somewhat) disagree,Strongly agree,Strongly disagree,Neutral,Neutral,(Somewhat) agree,(Somewhat) disagree,Strongly disagree,Strongly agree,(Somewhat) agree,Strongly agree,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Strongly disagree,4.2,4.75,3.444444444,3.875,2.888888889,2.833333333,2.25
18,19,20,Woman,Private,Freshman,Computer Science,Disagree a little,Agree a little,Agree a little,Agree strongly,Agree strongly,Disagree Strongly,Agree a little,Disagree Strongly,Agree a little,Agree strongly,Agree a little,Agree a little,Agree a little,Agree a little,Agree strongly,Agree a little,Agree strongly,Disagree Strongly,Agree strongly,Agree a little,Disagree Strongly,Agree a little,Agree a little,Agree strongly,Agree strongly,Disagree a little,Disagree a little,Disagree a little,Agree strongly,Agree strongly,Agree strongly,Agree a little,Agree a little,Disagree Strongly,Agree strongly,Agree a little,Disagree Strongly,Agree a little,Disagree a little,Agree a little,Disagree Strongly,Disagree a little,Disagree Strongly,Agree strongly,(Somewhat) agree,Strongly agree,(Somewhat) disagree,Neutral,(Somewhat) agree,Strongly disagree,(Somewhat) disagree,(Somewhat) disagree,Neutral,(Somewhat) disagree,(Somewhat) agree,Neutral,(Somewhat) disagree,Strongly agree,Neutral,Strongly disagree,(Somewhat) agree,(Somewhat) agree,Strongly disagree,(Somewhat) agree,4.4,2.875,3.333333333,3.875,2.777777778,3.416666667,2.25
19,20,22,Man,Private,Sophomore,Computer Science,Agree strongly,Disagree a little,Agree strongly,Neither agree nor disagree,Disagree a little,Agree strongly,Agree a little,Disagree a little,Agree a little,Neither agree nor disagree,Agree a little,Neither agree nor disagree,Agree a little,Neither agree nor disagree,Agree a little,Agree a little,Neither agree nor disagree,Disagree a little,Agree a little,Agree strongly,Agree a little,Agree a little,Disagree Strongly,Agree a little,Disagree a little,Agree a little,Disagree Strongly,Disagree Strongly,Agree a little,Agree strongly,Disagree a little,Agree a little,Disagree a little,Disagree a little,Agree a little,Agree strongly,Disagree Strongly,Disagree Strongly,Agree a little,Agree a little,Agree a little,Agree strongly,Disagree Strongly,Agree strongly,Strongly agree,Strongly agree,Strongly disagree,(Somewhat) disagree,(Somewhat) agree,(Somewhat) agree,Strongly agree,(Somewhat) disagree,(Somewhat) disagree,(Somewhat) disagree,Neutral,Neutral,(Somewhat) agree,(Somewhat) agree,Strongly disagree,(Somewhat) disagree,Neutral,Strongly agree,Strongly disagree,Strongly disagree,3.8,4.125,3,3.5,2.111111111,3.75,1.75
20,21,23,Woman,Private,Senior,Social Sciences,Agree strongly,Neither agree nor disagree,Agree strongly,Disagree a little,Agree strongly,Disagree a little,Agree a little,Neither agree nor disagree,Agree a little,Agree strongly,Agree a little,Agree a little,Agree strongly,Agree a little,Agree strongly,Agree strongly,Neither agree nor disagree,Agree strongly,Agree strongly,Agree strongly,Agree a little,Agree strongly,Disagree a little,Neither agree nor disagree,Agree strongly,Disagree a little,Agree strongly,Neither agree nor disagree,Agree a little,Agree strongly,Disagree Strongly,Agree a little,Agree strongly,Agree a little,Disagree Strongly,Agree strongly,Neither agree nor disagree,Disagree a little,Agree a little,Agree strongly,Disagree Strongly,Agree strongly,Disagree Strongly,Agree strongly,(Somewhat) agree,(Somewhat) disagree,(Somewhat) disagree,(Somewhat) disagree,(Somewhat) agree,Strongly disagree,Neutral,(Somewhat) agree,Neutral,Neutral,(Somewhat) agree,(Somewhat) agree,Strongly agree,Strongly agree,(Somewhat) disagree,(Somewhat) disagree,Neutral,(Somewhat) disagree,(Somewhat) agree,Strongly disagree,4.2,3.5,4,3.75,3.444444444,3.333333333,2.5
21,22,,,Private,Senior,Social Sciences,Agree a little,Agree strongly,Agree strongly,Disagree a little,Agree a little,Disagree a little,Agree a little,Agree strongly,Neither agree nor disagree,Agree a little,Agree a little,Agree strongly,Agree strongly,Disagree a little,Agree strongly,Agree a little,Agree a little,Agree a little,Neither agree nor disagree,Agree a little,Disagree a little,Agree a little,Disagree a little,Disagree a little,Agree a little,Agree a little,Agree a little,Agree strongly,Neither agree nor disagree,Agree a little,Agree a little,Agree strongly,Agree a little,Neither agree nor disagree,Disagree a little,Disagree a little,Agree strongly,Agree a little,Agree a little,Agree strongly,Agree a little,Agree a little,Agree a little,Agree a little,(Somewhat) disagree,(Somewhat) agree,Neutral,Neutral,(Somewhat) agree,(Somewhat) disagree,Neutral,(Somewhat) agree,(Somewhat) disagree,(Somewhat) agree,(Somewhat) agree,(Somewhat) agree,Neutral,(Somewhat) agree,(Somewhat) disagree,(Somewhat) agree,(Somewhat) agree,Neutral,(Somewhat) disagree,Neutral,4,3.25,4.444444444,2.75,4.222222222,3.5,2.75
