respondent_id,persona
12,"I am 23 years old. I am a woman. I am a second-year undergraduate (Sophomore) at a private university. My major is Business. On personality traits: my openness is moderate, my extraversion is very low, my agreeableness is very high, my neuroticism is high, my conscientiousness is moderate."
13,"I am 19 years old. I am a man. I am a first-year undergraduate (Freshman) at a private university. My major is Computer Science. On personality traits: my openness is moderate, my extraversion is moderate, my agreeableness is low, my neuroticism is low, my conscientiousness is moderate."
14,"I am 21 years old. I am a woman. I am a first-year undergraduate (Freshman) at a private university. My major is Business. On personality traits: my openness is high, my extraversion is low, my agreeableness is very high, my neuroticism is low, my conscientiousness is high."
15,"I am 21 years old. I am a woman. I am a first-year undergraduate (Freshman) at a private university. My major is Humanities. On personality traits: my openness is very high, my extraversion is high, my agreeableness is high, my neuroticism is low, my conscientiousness is very high."
16,"I am 19 years old. I am a woman. I am a first-year undergraduate (Freshman) at a private university. My major is Natural Sciences. On personality traits: my openness is very high, my extraversion is low, my agreeableness is very high, my neuroticism is very high, my conscientiousness is very high."
17,"I am 22 years old. I am a woman. I am a fourth-year undergraduate (Senior) at a private university. My major is Social Sciences. On personality traits: my openness is high, my extraversion is moderate, my agreeableness is high, my neuroticism is moderate, my conscientiousness is very high."
18,"I am 23 years old. I am a woman. I am a second-year undergraduate (Sophomore) at a private university. My major is Business. On personality traits: my openness is high, my extraversion is low, my agreeableness is high, my neuroticism is high, my conscientiousness is high."
19,"I am 22 years old. I am a woman. I am a third-year undergraduate (Junior) at a private university. My major is PharmD. On personality traits: my openness is high, my extraversion is very high, my agreeableness is high, my neuroticism is very high, my conscientiousness is high."
20,"I am 22 years old. I am a woman. I am a fourth-year undergraduate (Senior) at a private university. My major is Social Sciences. On personality traits: my openness is very high, my extraversion is very high, my agreeableness is moderate, my neuroticism is high, my conscientiousness is moderate."
21,"I am 19 years old. I am a man. I am a first-year undergraduate (Freshman) at a private university. My major is Computer Science. On personality traits: my openness is moderate, my extraversion is moderate, my agreeableness is high, my neuroticism is high, my conscientiousness is moderate."
22,"I am 24 years old. I am a woman. I am a first-year undergraduate (Freshman) at a private university. My major is Social Sciences. On personality traits: my openness is high, my extraversion is high, my agreeableness is high, my neuroticism is high, my conscientiousness is high."
23,"I am 23 years old. I am a woman. I am a fourth-year undergraduate (Senior) at a private university. My major is Social Sciences. On personality traits: my openness is high, my extraversion is low, my agreeableness is moderate, my neuroticism is high, my conscientiousness is low."
24,"I am 22 years old. I am a woman. I am a fourth-year undergraduate (Senior) at a private university. My major is Humanities. On personality traits: my openness is high, my extraversion is moderate, my agreeableness is high, my neuroticism is high, my conscientiousness is high."
25,"I am 22 years old. I am a woman. I am a fourth-year undergraduate (Senior) at a private university. My major is Social Sciences. On personality traits: my openness is moderate, my extraversion is high, my agreeableness is very high, my neuroticism is low, my conscientiousness is very high."
26,"I am 20 years old. I am a man. I am a first-year undergraduate (Freshman) at a private university. My major is Computer Science. On personality traits: my openness is high, my extraversion is high, my agreeableness is very high, my neuroticism is moderate, my conscientiousness is high."
27,"I am 21 years old. I am a man. I am a second-year undergraduate (Sophomore) at a private university. My major is Computer Science. On personality traits: my openness is very high, my extraversion is low, my agreeableness is high, my neuroticism is high, my conscientiousness is moderate."
28,"I am 22 years old. I am a woman. I am a fourth-year undergraduate (Senior) at a private university. My major is Social Sciences. On personality traits: my openness is high, my extraversion is high, my agreeableness is high, my neuroticism is very high, my conscientiousness is moderate."
29,"I am 21 years old. I am a woman. I am a third-year undergraduate (Junior) at a private university. My major is Social Sciences. On personality traits: my openness is high, my extraversion is high, my agreeableness is high, my neuroticism is high, my conscientiousness is high."
30,"I am 22 years old. I am a woman. I am a fourth-year undergraduate (Senior) at a private university. My major is Social Sciences. On personality traits: my openness is moderate, my extraversion is moderate, my agreeableness is very high, my neuroticism is high, my conscientiousness is very high."
31,"I am 21 years old. I am a man. I am a second-year undergraduate (Sophomore) at a private university. My major is Computer Science. On personality traits: my openness is very high, my extraversion is moderate, my agreeableness is high, my neuroticism is low, my conscientiousness is moderate."
32,"I am 22 years old. I am a man. I am a second-year undergraduate (Sophomore) at a private university. My major is Business. On personality traits: my openness is moderate, my extraversion is moderate, my agreeableness is high, my neuroticism is low, my conscientiousness is high."
33,"I am 18 years old. I am a man. I am a first-year undergraduate (Freshman) at a private university. My major is Computer Science. On personality traits: my openness is moderate, my extraversion is high, my agreeableness is high, my neuroticism is low, my conscientiousness is high."
34,"I am 20 years old. I am a woman. I am a third-year undergraduate (Junior) at a private university. My major is Social Sciences. On personality traits: my openness is high, my extraversion is moderate, my agreeableness is very high, my neuroticism is very high, my conscientiousness is high."
35,"I am 21 years old. I am a man. I am a third-year undergraduate (Junior) at a private university. My major is Social Sciences. On personality traits: my openness is high, my extraversion is high, my agreeableness is very high, my neuroticism is moderate, my conscientiousness is high."
36,"I am 23 years old. I am a man. I am a third-year undergraduate (Junior) at a private university. My major is Humanities. On personality traits: my openness is very high, my extraversion is high, my agreeableness is very high, my neuroticism is high, my conscientiousness is high."
37,"I am 21 years old. I am a woman. I am a fourth-year undergraduate (Senior) at a private university. My major is Natural Sciences. On personality traits: my openness is high, my extraversion is moderate, my agreeableness is low, my neuroticism is high, my conscientiousness is moderate."
38,"I am 22 years old. I am a woman. I am a fourth-year undergraduate (Senior) at a private university. My major is Humanities. On personality traits: my openness is moderate, my extraversion is low, my agreeableness is moderate, my neuroticism is very high, my conscientiousness is moderate."
39,"I am 23 years old. I am a woman. I am a fourth-year undergraduate (Senior) at a private university. My major is Social Sciences. On personality traits: my openness is very high, my extraversion is low, my agreeableness is very high, my neuroticism is moderate, my conscientiousness is low."
40,"I am 24 years old. I am a man. I am a fourth-year undergraduate (Senior) at a private university. My major is Business. On personality traits: my openness is high, my extraversion is high, my agreeableness is moderate, my neuroticism is moderate, my conscientiousness is moderate."
41,"I am 21 years old. I am a man. I am a second-year undergraduate (Sophomore) at a private university. My major is Computer Science. On personality traits: my openness is moderate, my extraversion is high, my agreeableness is high, my neuroticism is low, my conscientiousness is moderate."
42,"I am 20 years old. I am a woman. I am a second-year undergraduate (Sophomore) at a private university. My major is Business. On personality traits: my openness is high, my extraversion is high, my agreeableness is high, my neuroticism is low, my conscientiousness is high."
43,"I am 21 years old. I am a man. I am a fourth-year undergraduate (Senior) at a private university. My major is Humanities. On personality traits: my openness is very high, my extraversion is moderate, my agreeableness is very high, my neuroticism is very low, my conscientiousness is very high."
44,"I am 24 years old. I am a man. I am a fourth-year undergraduate (Senior) at a private university. My major is Social Sciences. On personality traits: my openness is very high, my extraversion is high, my agreeableness is very high, my neuroticism is low, my conscientiousness is very high."
45,"I am 22 years old. I am a woman. I am a fourth-year undergraduate (Senior) at a private university. My major is Social Sciences. On personality traits: my openness is moderate, my extraversion is high, my agreeableness is high, my neuroticism is high, my conscientiousness is low."
46,"I am 22 years old. I am a woman. I am a fourth-year undergraduate (Senior) at a private university. My major is Social Sciences. On personality traits: my openness is high, my extraversion is high, my agreeableness is very high, my neuroticism is high, my conscientiousness is high."
47,"I am 22 years old. I am a woman. I am a fourth-year undergraduate (Senior) at a private university. My major is Social Sciences. On personality traits: my openness is high, my extraversion is moderate, my agreeableness is high, my neuroticism is moderate, my conscientiousness is high."
48,"I am 22 years old. I am a man. I am a second-year undergraduate (Sophomore) at a private university. My major is Computer Science. On personality traits: my openness is high, my extraversion is very high, my agreeableness is moderate, my neuroticism is high, my conscientiousness is low."
49,"I am 22 years old. I am a man. I am a second-year undergraduate (Sophomore) at a private university. My major is Business. On personality traits: my openness is moderate, my extraversion is low, my agreeableness is moderate, my neuroticism is high, my conscientiousness is high."
50,"I am 23 years old. I am a man. I am a third-year undergraduate (Junior) at a private university. My major is Social Sciences. On personality traits: my openness is low, my extraversion is moderate, my agreeableness is low, my neuroticism is moderate, my conscientiousness is high."
51,"I am 21 years old. I am a man. I am a fourth-year undergraduate (Senior) at a private university. My major is Humanities. On personality traits: my openness is very high, my extraversion is very low, my agreeableness is high, my neuroticism is high, my conscientiousness is high."
52,"I am 27 years old. I am a woman. I am a fourth-year undergraduate (Senior) at a private university. My major is Social Sciences. On personality traits: my openness is high, my extraversion is very high, my agreeableness is high, my neuroticism is moderate, my conscientiousness is high."
53,"I am 24 years old. I am a man. I am a fourth-year undergraduate (Senior) at a private university. My major is PharmD. On personality traits: my openness is high, my extraversion is very high, my agreeableness is high, my neuroticism is moderate, my conscientiousness is very high."
54,"I am 22 years old. I am a woman. I am a fourth-year undergraduate (Senior) at a private university. My major is Social Sciences. On personality traits: my openness is very high, my extraversion is high, my agreeableness is very high, my neuroticism is high, my conscientiousness is moderate."
55,"I am 19 years old. I am a woman. I am a first-year undergraduate (Freshman) at a private university. My major is Undeclared. On personality traits: my openness is high, my extraversion is high, my agreeableness is high, my neuroticism is high, my conscientiousness is high."
56,"I am 22 years old. I am a woman. I am a fourth-year undergraduate (Senior) at a private university. My major is Social Sciences. On personality traits: my openness is very high, my extraversion is very high, my agreeableness is high, my neuroticism is high, my conscientiousness is moderate."
57,"I am 23 years old. I am a woman. I am a third-year undergraduate (Junior) at a private university. My major is Social Sciences. On personality traits: my openness is high, my extraversion is very low, my agreeableness is high, my neuroticism is high, my conscientiousness is low."
58,"I am 21 years old. I am a woman. I am a fourth-year undergraduate (Senior) at a private university. My major is Social Sciences. On personality traits: my openness is moderate, my extraversion is low, my agreeableness is high, my neuroticism is high, my conscientiousness is very high."
59,"I am 22 years old. I am a woman. I am a fourth-year undergraduate (Senior) at a private university. My major is Social Sciences. On personality traits: my openness is moderate, my extraversion is high, my agreeableness is high, my neuroticism is moderate, my conscientiousness is high."
60,"I am 21 years old. I am a man. I am a second-year undergraduate (Sophomore) at a private university. My major is Natural Sciences. On personality traits: my openness is high, my extraversion is moderate, my agreeableness is high, my neuroticism is moderate, my conscientiousness is high."
61,"I am 21 years old. I am a woman. I am a fourth-year undergraduate (Senior) at a private university. My major is Humanities. On personality traits: my openness is high, my extraversion is high, my agreeableness is high, my neuroticism is high, my conscientiousness is high."
62,"I am 18 years old. I am a man. I am a first-year undergraduate (Freshman) at a private university. My major is Undeclared. On personality traits: my openness is high, my extraversion is moderate, my agreeableness is high, my neuroticism is moderate, my conscientiousness is moderate."
63,"I am 21 years old. I am a man. I am a third-year undergraduate (Junior) at a private university. My major is Social Sciences. On personality traits: my openness is high, my extraversion is high, my agreeableness is moderate, my neuroticism is moderate, my conscientiousness is moderate."
64,"I am 19 years old. I am a woman. I am a first-year undergraduate (Freshman) at a private university. My major is Business. On personality traits: my openness is moderate, my extraversion is moderate, my agreeableness is high, my neuroticism is high, my conscientiousness is high."
65,"I am 22 years old. I am a man. I am a third-year undergraduate (Junior) at a private university. My major is Business. On personality traits: my openness is high, my extraversion is moderate, my agreeableness is very high, my neuroticism is very low, my conscientiousness is moderate."
66,"I am 21 years old. I am a man. I am a third-year undergraduate (Junior) at a private university. My major is Business. On personality traits: my openness is high, my extraversion is high, my agreeableness is high, my neuroticism is very low, my conscientiousness is very high."
67,"I am 22 years old. I am a woman. I am a fourth-year undergraduate (Senior) at a private university. My major is Social Sciences. On personality traits: my openness is very high, my extraversion is moderate, my agreeableness is high, my neuroticism is high, my conscientiousness is high."
68,"I am 22 years old. I am a man. I am a third-year undergraduate (Junior) at a private university. My major is Business. On personality traits: my openness is high, my extraversion is moderate, my agreeableness is high, my neuroticism is low, my conscientiousness is moderate."
69,"I am 21 years old. I am a woman. I am a third-year undergraduate (Junior) at a private university. My major is Social Sciences. On personality traits: my openness is high, my extraversion is moderate, my agreeableness is high, my neuroticism is very high, my conscientiousness is high."
70,"I am 23 years old. I am a woman. I am a first-year undergraduate (Freshman) at a private university. My major is Undeclared. On personality traits: my openness is very high, my extraversion is high, my agreeableness is low, my neuroticism is high, my conscientiousness is moderate."
71,"I am 22 years old. I am a man. I am a third-year undergraduate (Junior) at a private university. My major is Business. On personality traits: my openness is high, my extraversion is moderate, my agreeableness is high, my neuroticism is high, my conscientiousness is moderate."
72,"I am 18 years old. I am a man. I am a first-year undergraduate (Freshman) at a private university. My major is Computer Science. On personality traits: my openness is high, my extraversion is high, my agreeableness is high, my neuroticism is moderate, my conscientiousness is moderate."
73,"I am 23 years old. I am a man. I am a fourth-year undergraduate (Senior) at a private university. My major is Social Sciences. On personality traits: my openness is high, my extraversion is moderate, my agreeableness is high, my neuroticism is moderate, my conscientiousness is low."
74,"I am 21 years old. I am a woman. I am a third-year undergraduate (Junior) at a private university. My major is Social Sciences. On personality traits: my openness is moderate, my extraversion is low, my agreeableness is very high, my neuroticism is moderate, my conscientiousness is high."
75,"I am 21 years old. I am a woman. I am a third-year undergraduate (Junior) at a private university. My major is Humanities. On personality traits: my openness is high, my extraversion is low, my agreeableness is very high, my neuroticism is high, my conscientiousness is moderate."
76,"I am 24 years old. I am a woman. I am a fourth-year undergraduate (Senior) at a private university. My major is Social Sciences. On personality traits: my openness is moderate, my extraversion is high, my agreeableness is high, my neuroticism is very high, my conscientiousness is moderate."
77,"I am 23 years old. I am a man. I am a fourth-year undergraduate (Senior) at a private university. My major is Business. On personality traits: my openness is high, my extraversion is high, my agreeableness is moderate, my neuroticism is high, my conscientiousness is moderate."
78,"I am 20 years old. I am a woman. I am a third-year undergraduate (Junior) at a private university. My major is Social Sciences. On personality traits: my openness is high, my extraversion is low, my agreeableness is low, my neuroticism is high, my conscientiousness is high."
79,"I am 25 years old. I am a woman. I am a fourth-year undergraduate (Senior) at a private university. My major is Humanities. On personality traits: my openness is high, my extraversion is low, my agreeableness is moderate, my neuroticism is very high, my conscientiousness is low."
80,"I am 22 years old. I am a man. I am a second-year undergraduate (Sophomore) at a private university. My major is Business. On personality traits: my openness is high, my extraversion is high, my agreeableness is high, my neuroticism is low, my conscientiousness is high."
81,"I am 23 years old. I am a woman. I am a fourth-year undergraduate (Senior) at a private university. My major is Social Sciences. On personality traits: my openness is high, my extraversion is high, my agreeableness is high, my neuroticism is high, my conscientiousness is high."
82,"I am 23 years old. I am a man. I am a fourth-year undergraduate (Senior) at a private university. My major is Business. On personality traits: my openness is high, my extraversion is high, my agreeableness is high, my neuroticism is low, my conscientiousness is very high."
83,"I am 21 years old. I am a man. I am a fourth-year undergraduate (Senior) at a private university. My major is Humanities. On personality traits: my openness is high, my extraversion is very high, my agreeableness is very high, my neuroticism is low, my conscientiousness is high."
84,"I am 21 years old. I am a man. I am a fourth-year undergraduate (Senior) at a private university. My major is Business. On personality traits: my openness is high, my extraversion is low, my agreeableness is very high, my neuroticism is low, my conscientiousness is very high."
85,"I am 21 years old. I am a man. I am a first-year undergraduate (Freshman) at a private university. My major is Computer Science. On personality traits: my openness is high, my extraversion is high, my agreeableness is high, my neuroticism is low, my conscientiousness is high."
86,"I am 22 years old. I am a woman. I am a fourth-year undergraduate (Senior) at a private university. My major is Social Sciences. On personality traits: my openness is high, my extraversion is moderate, my agreeableness is high, my neuroticism is high, my conscientiousness is moderate."
87,"I am 23 years old. I am a man. I am a fourth-year undergraduate (Senior) at a private university. My major is Business. On personality traits: my openness is high, my extraversion is very high, my agreeableness is high, my neuroticism is moderate, my conscientiousness is high."
88,"I am 21 years old. I am a man. I am a first-year undergraduate (Freshman) at a private university. My major is Social Sciences. On personality traits: my openness is high, my extraversion is very high, my agreeableness is very high, my neuroticism is moderate, my conscientiousness is moderate."
89,"I am 21 years old. I am a person. I am a fourth-year undergraduate (Senior) at a private university. My major is Social Sciences. On personality traits: my openness is high, my extraversion is moderate, my agreeableness is very high, my neuroticism is low, my conscientiousness is very high."
90,"I am 20 years old. I am a man. I am a first-year undergraduate (Freshman) at a private university. My major is Undeclared. On personality traits: my openness is moderate, my extraversion is low, my agreeableness is moderate, my neuroticism is low, my conscientiousness is high."
91,"I am 23 years old. I am a woman. I am a fourth-year undergraduate (Senior) at a private university. My major is Social Sciences. On personality traits: my openness is moderate, my extraversion is low, my agreeableness is high, my neuroticism is moderate, my conscientiousness is high."
92,"I am 22 years old. I am a woman. I am a fourth-year undergraduate (Senior) at a private university. My major is Social Sciences. On personality traits: my openness is moderate, my extraversion is moderate, my agreeableness is very high, my neuroticism is high, my conscientiousness is moderate."
93,"I am 23 years old. I am a woman. I am a fourth-year undergraduate (Senior) at a private university. My major is Business. On personality traits: my openness is high, my extraversion is moderate, my agreeableness is high, my neuroticism is high, my conscientiousness is moderate."
94,"I am 22 years old. I am a woman. I am a fourth-year undergraduate (Senior) at a private university. My major is Social Sciences. On personality traits: my openness is high, my extraversion is very low, my agreeableness is very high, my neuroticism is very high, my conscientiousness is high."
95,"I am 21 years old. I am a woman. I am a fourth-year undergraduate (Senior) at a private university. My major is Humanities. On personality traits: my openness is high, my extraversion is moderate, my agreeableness is very high, my neuroticism is moderate, my conscientiousness is very high."
96,"I am 23 years old. I am a woman. I am a fourth-year undergraduate (Senior) at a private university. My major is Social Sciences. On personality traits: my openness is high, my extraversion is very high, my agreeableness is very high, my neuroticism is high, my conscientiousness is very high."
97,"I am 23 years old. I am a woman. I am a fourth-year undergraduate (Senior) at a private university. My major is Social Sciences. On personality traits: my openness is very high, my extraversion is high, my agreeableness is high, my neuroticism is high, my conscientiousness is high."
98,"I am 22 years old. I am a man. I am a third-year undergraduate (Junior) at a private university. My major is Social Sciences. On personality traits: my openness is high, my extraversion is low, my agreeableness is high, my neuroticism is low, my conscientiousness is low."
99,"I am 21 years old. I am a man. I am a third-year undergraduate (Junior) at a private university. My major is Business. On personality traits: my openness is low, my extraversion is high, my agreeableness is high, my neuroticism is moderate, my conscientiousness is high."
100,"I am 20 years old. I am a woman. I am a second-year undergraduate (Sophomore) at a private university. My major is Social Sciences. On personality traits: my openness is high, my extraversion is low, my agreeableness is high, my neuroticism is moderate, my conscientiousness is very high."
