respondent_id,persona
28,I am 22 years old. I am a woman. I am a fourth-year undergraduate (Senior) at a private university. My major is Social Sciences.
29,I am 21 years old. I am a woman. I am a third-year undergraduate (Junior) at a private university. My major is Social Sciences.
30,I am 22 years old. I am a woman. I am a fourth-year undergraduate (Senior) at a private university. My major is Social Sciences.
31,I am 21 years old. I am a man. I am a second-year undergraduate (Sophomore) at a private university. My major is Computer Science.
32,I am 22 years old. I am a man. I am a second-year undergraduate (Sophomore) at a private university. My major is Business.
33,I am 18 years old. I am a man. I am a first-year undergraduate (Freshman) at a private university. My major is Computer Science.
34,I am 20 years old. I am a woman. I am a third-year undergraduate (Junior) at a private university. My major is Social Sciences.
35,I am 21 years old. I am a man. I am a third-year undergraduate (Junior) at a private university. My major is Social Sciences.
36,I am 23 years old. I am a man. I am a third-year undergraduate (Junior) at a private university. My major is Humanities.
37,I am 21 years old. I am a woman. I am a fourth-year undergraduate (Senior) at a private university. My major is Natural Sciences.
38,I am 22 years old. I am a woman. I am a fourth-year undergraduate (Senior) at a private university. My major is Humanities.
39,I am 23 years old. I am a woman. I am a fourth-year undergraduate (Senior) at a private university. My major is Social Sciences.
40,I am 24 years old. I am a man. I am a fourth-year undergraduate (Senior) at a private university. My major is Business.
41,I am 21 years old. I am a man. I am a second-year undergraduate (Sophomore) at a private university. My major is Computer Science.
42,I am 20 years old. I am a woman. I am a second-year undergraduate (Sophomore) at a private university. My major is Business.
43,I am 21 years old. I am a man. I am a fourth-year undergraduate (Senior) at a private university. My major is Humanities.
44,I am 24 years old. I am a man. I am a fourth-year undergraduate (Senior) at a private university. My major is Social Sciences.
45,I am 22 years old. I am a woman. I am a fourth-year undergraduate (Senior) at a private university. My major is Social Sciences.
46,I am 22 years old. I am a woman. I am a fourth-year undergraduate (Senior) at a private university. My major is Social Sciences.
47,I am 22 years old. I am a woman. I am a fourth-year undergraduate (Senior) at a private university. My major is Social Sciences.
48,I am 22 years old. I am a man. I am a second-year undergraduate (Sophomore) at a private university. My major is Computer Science.
49,I am 22 years old. I am a man. I am a second-year undergraduate (Sophomore) at a private university. My major is Business.
50,I am 23 years old. I am a man. I am a third-year undergraduate (Junior) at a private university. My major is Social Sciences.
51,I am 21 years old. I am a man. I am a fourth-year undergraduate (Senior) at a private university. My major is Humanities.
52,I am 27 years old. I am a woman. I am a fourth-year undergraduate (Senior) at a private university. My major is Social Sciences.
53,I am 24 years old. I am a man. I am a fourth-year undergraduate (Senior) at a private university. My major is PharmD.
54,I am 22 years old. I am a woman. I am a fourth-year undergraduate (Senior) at a private university. My major is Social Sciences.
55,I am 19 years old. I am a woman. I am a first-year undergraduate (Freshman) at a private university. My major is Undeclared.
56,I am 22 years old. I am a woman. I am a fourth-year undergraduate (Senior) at a private university. My major is Social Sciences.
57,I am 23 years old. I am a woman. I am a third-year undergraduate (Junior) at a private university. My major is Social Sciences.
58,I am 21 years old. I am a woman. I am a fourth-year undergraduate (Senior) at a private university. My major is Social Sciences.
59,I am 22 years old. I am a woman. I am a fourth-year undergraduate (Senior) at a private university. My major is Social Sciences.
60,I am 21 years old. I am a man. I am a second-year undergraduate (Sophomore) at a private university. My major is Natural Sciences.
61,I am 21 years old. I am a woman. I am a fourth-year undergraduate (Senior) at a private university. My major is Humanities.
62,I am 18 years old. I am a man. I am a first-year undergraduate (Freshman) at a private university. My major is Undeclared.
63,I am 21 years old. I am a man. I am a third-year undergraduate (Junior) at a private university. My major is Social Sciences.
64,I am 19 years old. I am a woman. I am a first-year undergraduate (Freshman) at a private university. My major is Business.
65,I am 22 years old. I am a man. I am a third-year undergraduate (Junior) at a private university. My major is Business.
66,I am 21 years old. I am a man. I am a third-year undergraduate (Junior) at a private university. My major is Business.
67,I am 22 years old. I am a woman. I am a fourth-year undergraduate (Senior) at a private university. My major is Social Sciences.
68,I am 22 years old. I am a man. I am a third-year undergraduate (Junior) at a private university. My major is Business.
69,I am 21 years old. I am a woman. I am a third-year undergraduate (Junior) at a private university. My major is Social Sciences.
70,I am 23 years old. I am a woman. I am a first-year undergraduate (Freshman) at a private university. My major is Undeclared.
71,I am 22 years old. I am a man. I am a third-year undergraduate (Junior) at a private university. My major is Business.
72,I am 18 years old. I am a man. I am a first-year undergraduate (Freshman) at a private university. My major is Computer Science.
73,I am 23 years old. I am a man. I am a fourth-year undergraduate (Senior) at a private university. My major is Social Sciences.
74,I am 21 years old. I am a woman. I am a third-year undergraduate (Junior) at a private university. My major is Social Sciences.
75,I am 21 years old. I am a woman. I am a third-year undergraduate (Junior) at a private university. My major is Humanities.
76,I am 24 years old. I am a woman. I am a fourth-year undergraduate (Senior) at a private university. My major is Social Sciences.
77,I am 23 years old. I am a man. I am a fourth-year undergraduate (Senior) at a private university. My major is Business.
78,I am 20 years old. I am a woman. I am a third-year undergraduate (Junior) at a private university. My major is Social Sciences.
79,I am 25 years old. I am a woman. I am a fourth-year undergraduate (Senior) at a private university. My major is Humanities.
80,I am 22 years old. I am a man. I am a second-year undergraduate (Sophomore) at a private university. My major is Business.
81,I am 23 years old. I am a woman. I am a fourth-year undergraduate (Senior) at a private university. My major is Social Sciences.
82,I am 23 years old. I am a man. I am a fourth-year undergraduate (Senior) at a private university. My major is Business.
83,I am 21 years old. I am a man. I am a fourth-year undergraduate (Senior) at a private university. My major is Humanities.
84,I am 21 years old. I am a man. I am a fourth-year undergraduate (Senior) at a private university. My major is Business.
85,I am 21 years old. I am a man. I am a first-year undergraduate (Freshman) at a private university. My major is Computer Science.
86,I am 22 years old. I am a woman. I am a fourth-year undergraduate (Senior) at a private university. My major is Social Sciences.
87,I am 23 years old. I am a man. I am a fourth-year undergraduate (Senior) at a private university. My major is Business.
88,I am 21 years old. I am a man. I am a first-year undergraduate (Freshman) at a private university. My major is Social Sciences.
89,I am 21 years old. I am a person. I am a fourth-year undergraduate (Senior) at a private university. My major is Social Sciences.
90,I am 20 years old. I am a man. I am a first-year undergraduate (Freshman) at a private university. My major is Undeclared.
91,I am 23 years old. I am a woman. I am a fourth-year undergraduate (Senior) at a private university. My major is Social Sciences.
92,I am 22 years old. I am a woman. I am a fourth-year undergraduate (Senior) at a private university. My major is Social Sciences.
93,I am 23 years old. I am a woman. I am a fourth-year undergraduate (Senior) at a private university. My major is Business.
94,I am 22 years old. I am a woman. I am a fourth-year undergraduate (Senior) at a private university. My major is Social Sciences.
95,I am 21 years old. I am a woman. I am a fourth-year undergraduate (Senior) at a private university. My major is Humanities.
96,I am 23 years old. I am a woman. I am a fourth-year undergraduate (Senior) at a private university. My major is Social Sciences.
97,I am 23 years old. I am a woman. I am a fourth-year undergraduate (Senior) at a private university. My major is Social Sciences.
98,I am 22 years old. I am a man. I am a third-year undergraduate (Junior) at a private university. My major is Social Sciences.
99,I am 21 years old. I am a man. I am a third-year undergraduate (Junior) at a private university. My major is Business.
100,I am 20 years old. I am a woman. I am a second-year undergraduate (Sophomore) at a private university. My major is Social Sciences.
